epoch, 82, time used, 43, seconds, train loss, 0.443380, valid loss:, 0.513686
epoch, 83, time used, 43, seconds, train loss, 0.442729, valid loss:, 0.515734
epoch, 84, time used, 43, seconds, train loss, 0.442887, valid loss:, 0.515439
epoch, 85, time used, 43, seconds, train loss, 0.442311, valid loss:, 0.514530
epoch, 86, time used, 43, seconds, train loss, 0.442858, valid loss:, 0.514324
epoch, 87, time used, 43, seconds, train loss, 0.442420, valid loss:, 0.513510
epoch, 88, time used, 43, seconds, train loss, 0.442091, valid loss:, 0.515001
epoch, 89, time used, 43, seconds, train loss, 0.441798, valid loss:, 0.519772
epoch, 90, time used, 43, seconds, train loss, 0.441564, valid loss:, 0.513902
epoch, 91, time used, 43, seconds, train loss, 0.441982, valid loss:, 0.514952
epoch, 92, time used, 43, seconds, train loss, 0.442698, valid loss:, 0.518390
epoch, 93, time used, 43, seconds, train loss, 0.442211, valid loss:, 0.511280
epoch, 94, time used, 43, seconds, train loss, 0.442102, valid loss:, 0.518070
epoch, 95, time used, 42, seconds, train loss, 0.441887, valid loss:, 0.511424
epoch, 96, time used, 43, seconds, train loss, 0.440795, valid loss:, 0.512326
epoch, 97, time used, 43, seconds, train loss, 0.440604, valid loss:, 0.513297
epoch, 98, time used, 43, seconds, train loss, 0.441230, valid loss:, 0.511524
epoch, 99, time used, 43, seconds, train loss, 0.440865, valid loss:, 0.513842
epoch, 100, time used, 43, seconds, train loss, 0.440998, valid loss:, 0.510573
epoch, 101, time used, 43, seconds, train loss, 0.441497, valid loss:, 0.512100
epoch, 102, time used, 43, seconds, train loss, 0.440782, valid loss:, 0.513169
epoch, 103, time used, 43, seconds, train loss, 0.439909, valid loss:, 0.511196
epoch, 104, time used, 43, seconds, train loss, 0.440150, valid loss:, 0.511990
epoch, 105, time used, 43, seconds, train loss, 0.440607, valid loss:, 0.511070
epoch, 106, time used, 43, seconds, train loss, 0.440699, valid loss:, 0.515797
epoch, 107, time used, 43, seconds, train loss, 0.441073, valid loss:, 0.509202
epoch, 108, time used, 43, seconds, train loss, 0.440525, valid loss:, 0.511322
epoch, 109, time used, 43, seconds, train loss, 0.440476, valid loss:, 0.511710
epoch, 110, time used, 43, seconds, train loss, 0.442121, valid loss:, 0.508115
epoch, 111, time used, 43, seconds, train loss, 0.441820, valid loss:, 0.509056
epoch, 112, time used, 43, seconds, train loss, 0.441037, valid loss:, 0.506856
epoch, 113, time used, 43, seconds, train loss, 0.440618, valid loss:, 0.509890
epoch, 114, time used, 43, seconds, train loss, 0.440699, valid loss:, 0.507328
epoch, 115, time used, 43, seconds, train loss, 0.440868, valid loss:, 0.511785
epoch, 116, time used, 43, seconds, train loss, 0.442330, valid loss:, 0.515292
epoch, 117, time used, 43, seconds, train loss, 0.442114, valid loss:, 0.510196
epoch, 118, time used, 43, seconds, train loss, 0.441848, valid loss:, 0.513671
epoch, 119, time used, 43, seconds, train loss, 0.441609, valid loss:, 0.512338
epoch, 120, time used, 43, seconds, train loss, 0.443299, valid loss:, 0.507910
epoch, 121, time used, 42, seconds, train loss, 0.441776, valid loss:, 0.505662
epoch, 122, time used, 43, seconds, train loss, 0.444217, valid loss:, 0.505387
epoch, 123, time used, 42, seconds, train loss, 0.442241, valid loss:, 0.504404
epoch, 124, time used, 42, seconds, train loss, 0.441490, valid loss:, 0.510542
epoch, 125, time used, 42, seconds, train loss, 0.448819, valid loss:, 0.540962
epoch, 126, time used, 42, seconds, train loss, 0.444224, valid loss:, 0.506390
epoch, 127, time used, 42, seconds, train loss, 0.443730, valid loss:, 0.507789
epoch, 128, time used, 43, seconds, train loss, 0.444414, valid loss:, 0.503903
epoch, 129, time used, 43, seconds, train loss, 0.444750, valid loss:, 0.506620
epoch, 130, time used, 42, seconds, train loss, 0.443483, valid loss:, 0.505768
epoch, 131, time used, 42, seconds, train loss, 0.444628, valid loss:, 0.514999
epoch, 132, time used, 43, seconds, train loss, 0.446461, valid loss:, 0.507173
epoch, 133, time used, 43, seconds, train loss, 0.444757, valid loss:, 0.503969
epoch, 134, time used, 43, seconds, train loss, 0.448921, valid loss:, 0.512248
epoch, 135, time used, 43, seconds, train loss, 0.449000, valid loss:, 0.507597
epoch, 136, time used, 43, seconds, train loss, 0.444599, valid loss:, 0.502023
epoch, 137, time used, 42, seconds, train loss, 0.445505, valid loss:, 0.501259
epoch, 138, time used, 43, seconds, train loss, 0.447174, valid loss:, 0.502613
epoch, 139, time used, 43, seconds, train loss, 0.451062, valid loss:, 0.509535
epoch, 140, time used, 42, seconds, train loss, 0.450940, valid loss:, 0.505929
epoch, 141, time used, 43, seconds, train loss, 0.446580, valid loss:, 0.503620
epoch, 142, time used, 43, seconds, train loss, 0.448984, valid loss:, 0.527394
epoch, 143, time used, 43, seconds, train loss, 0.453406, valid loss:, 0.508144
epoch, 144, time used, 43, seconds, train loss, 0.451930, valid loss:, 0.508377
epoch, 145, time used, 42, seconds, train loss, 0.450207, valid loss:, 0.499824
epoch, 146, time used, 43, seconds, train loss, 0.458498, valid loss:, 0.504719
epoch, 147, time used, 43, seconds, train loss, 0.454984, valid loss:, 0.501566
epoch, 148, time used, 42, seconds, train loss, 0.452602, valid loss:, 0.510608
epoch, 149, time used, 43, seconds, train loss, 0.453462, valid loss:, 0.503470
epoch, 150, time used, 43, seconds, train loss, 0.453421, valid loss:, 0.500021
epoch, 151, time used, 43, seconds, train loss, 0.452443, valid loss:, 0.501861
epoch, 152, time used, 42, seconds, train loss, 0.451352, valid loss:, 0.499151
epoch, 153, time used, 43, seconds, train loss, 0.455710, valid loss:, 0.496747
epoch, 154, time used, 43, seconds, train loss, 0.453473, valid loss:, 0.496366
epoch, 155, time used, 43, seconds, train loss, 0.458897, valid loss:, 0.514819
epoch, 156, time used, 42, seconds, train loss, 0.456069, valid loss:, 0.503627
epoch, 157, time used, 43, seconds, train loss, 0.455460, valid loss:, 0.495945
epoch, 158, time used, 43, seconds, train loss, 0.457483, valid loss:, 0.515890
epoch, 159, time used, 43, seconds, train loss, 0.457837, valid loss:, 0.504694
epoch, 160, time used, 43, seconds, train loss, 0.458446, valid loss:, 0.504404
epoch, 161, time used, 43, seconds, train loss, 0.456369, valid loss:, 0.497611
epoch, 162, time used, 43, seconds, train loss, 0.455910, valid loss:, 0.495918
epoch, 163, time used, 43, seconds, train loss, 0.458473, valid loss:, 0.495551
epoch, 164, time used, 43, seconds, train loss, 0.457651, valid loss:, 0.494541
epoch, 165, time used, 43, seconds, train loss, 0.456986, valid loss:, 0.495612
epoch, 166, time used, 43, seconds, train loss, 0.458809, valid loss:, 0.494844
epoch, 167, time used, 42, seconds, train loss, 0.459141, valid loss:, 0.494192
epoch, 168, time used, 42, seconds, train loss, 0.457159, valid loss:, 0.493221
epoch, 169, time used, 43, seconds, train loss, 0.460902, valid loss:, 0.496154
epoch, 170, time used, 43, seconds, train loss, 0.458777, valid loss:, 0.494075
epoch, 171, time used, 43, seconds, train loss, 0.459818, valid loss:, 0.492497
epoch, 172, time used, 43, seconds, train loss, 0.458947, valid loss:, 0.494557
epoch, 173, time used, 42, seconds, train loss, 0.460188, valid loss:, 0.494868
epoch, 174, time used, 43, seconds, train loss, 0.462951, valid loss:, 0.495352
epoch, 175, time used, 43, seconds, train loss, 0.464289, valid loss:, 0.494870
epoch, 176, time used, 43, seconds, train loss, 0.462941, valid loss:, 0.494420
epoch, 177, time used, 43, seconds, train loss, 0.462314, valid loss:, 0.493287
epoch, 178, time used, 43, seconds, train loss, 0.461987, valid loss:, 0.495751
epoch, 179, time used, 42, seconds, train loss, 0.462726, valid loss:, 0.495497
epoch, 180, time used, 43, seconds, train loss, 0.464628, valid loss:, 0.492842
